"SDATE","STIME","EDATE","ETIME","PROG","DURATION","FINISHED","RECDATE","RECTIME","ID","QSCORE","DOB","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY","ACTIVITYfill","othACTIVITY","AFFILIATE","AFFILIATEfill","othAFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","SOURCEfill","othSOURCE","INTEREST","FREEINFO","FREEINFOfill","othFREEINFO","TOPICS","TOPICSfill","othTOPICS","QSNCS","AGE","DURATIONMIN","COUNTY","PIGSCORRECT","PIGSCERTAIN","PIGSCCORRECT","BRUCECORRECT","BRUCECERTAIN","BRUCECCORRECT","CWDCORRECT","CWDCERTAIN","CWDCCORRECT","FLUALCORRECT","FLUALCERTAIN","FLUALCCORRECT","FLUCORRECT","FLUCERTAIN","FLUCCORRECT","COVIDCORRECT","COVIDCERTAIN","COVIDCCORRECT","COVIDSPILLCORRECT","COVIDSPILLCERTAIN","COVIDSPILLCCORRECT","RABIESALCORRECT","RABIESALCERTAIN","RABIESALCCORRECT","RABIESCORRECT","RABIESCERTAIN","RABIESCCORRECT","TURKEYCORRECT","TURKEYCERTAIN","TURKEYCCORRECT","CORRECT","CERTAIN","CCORRECT","CWDALNEUTRAL","BATSNEUTRAL","EDREQNEUTRAL","INFONEUTRAL","HANDSONNEUTRAL","PPEREQNEUTRAL","EHDNEUTRAL","DARWINNEUTRAL","POPREDNEUTRAL","POPPLANNEUTRAL","SURVEYNEUTRAL","VACCINENEUTRAL","PREVALNEUTRAL","DIVERSENEUTRAL","CONSEQNEUTRAL","CLIMATENEUTRAL","NEUTRAL","noSOURCE","INTERESTCERTAIN","TOPICSsel2","SOURCEsel2","COUNTIESsel2","FREEINFOsel2"
"6/4/2024","9:00:00 AM","6/4/2024","9:11:00 AM",100,704,TRUE,"6/4/2024","9:11:00 AM","R_5Ci9S96Mb1l4thv",0.899999976,1983,"Yes","36830","White","No","Male","$100,001+","Graduate or Professional School","Yes","No","No","","Yes","5-10 years","Research","Research","","Federal Government","Federal Government","","Rarely",10,"No","No","","Yes","Always (100%)","Lauderdale","No","TRUE","I don't kNow","FALSE","TRUE","FALSE","TRUE","I don't kNow","I don't kNow","Bites","I don't kNow","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Strongly Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Yes","I have Not looked for health information","I have Not looked for health information","","Unsure","One day in-person conference","One day in-person conference","","Rabies,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Vector borne diseases,CWD,SarsCoV2,One Health","","",41,11.7333333333333,"Lee County",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,6,6,6,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,3,0,0,5,1,1,1
"5/21/2024","11:54:00 AM","5/21/2024","12:02:00 PM",100,463,TRUE,"5/21/2024","12:02:00 PM","R_5H8z55hdlP40wut",0.600000024,1975,"Yes","35136","White","No","Female","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","Yes",">10 years","Yes","10-20 years","Education","Education","","State/Provincial Government","State/Provincial Government","","Monthly",20,"No","No","","Yes","Always (100%)","Coosa,Dallas,Elmore,Montgomery,Tallapoosa","Yes","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Field dress and consumption","Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","RHD and also parasites","",49,7.71666666666667,"Coosa County",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,6,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9,3,5,1
"5/20/2024","4:22:00 AM","5/20/2024","4:36:00 AM",100,829,TRUE,"5/20/2024","4:36:00 AM","R_5R4EQsrUOLEYf05",1,1996,"Yes","35473","White","No","Male","$30,001-40,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes","5-10 years","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",50,"Yes","No","","Yes","Always (100%)","Autauga,Bibb,Chilton,Colbert,Dallas,Greene,Hale,Jefferson,Lauderdale,Lowndes,Perry,Pickens,Shelby,Sumter,Tuscaloosa,Walker","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Strongly Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",28,13.8166666666667,"Tuscaloosa County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,7,9,7,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,3,1,1,8,3,16,1
"5/28/2024","6:56:00 AM","5/28/2024","7:37:00 AM",100,2432,TRUE,"5/28/2024","7:37:00 AM","R_5R8dAcdx8Ls1pHO",0.899999976,1962,"Yes","36567","White","No","Male","$40,001-50,000","High school graduate/GED","No","No","No","","No","<1 year","Research","Research","","Nonprofit/Conservation Organization","Nonprofit/Conservation Organization","","Daily",100,"Yes","No","","Yes","Always (100%)","Baldwin,Butler,Choctaw,Escambia,Mobile,Monroe,Washington","Yes","TRUE","FALSE","FALSE","I don't kNow","FALSE","I don't kNow","FALSE","TRUE","Bites","Bury","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Yes","State Wildlife Agency","State Wildlife Agency","","Yes","Year-long once a month virtual conference,Other","Year-long once a month virtual conference,Other","","CWD","CWD","","",62,40.5333333333333,"Baldwin County",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,6,8,6,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,6,1,1,1,1,7,2
"5/21/2024","8:16:00 AM","5/21/2024","9:17:00 AM",100,3656,TRUE,"5/21/2024","9:17:00 AM","R_6EGbV8cpek98PhX",0.899999976,1991,"Yes","36695","White","No","Male","$50,001-60,000","Graduate or Professional School","Yes","No","Yes","5-10 years","Yes","5-10 years","Education","Education","","Nonprofit/Conservation Organization","Nonprofit/Conservation Organization","","Rarely",20,"No","No","","Yes","Always (100%)","Baldwin,Mobile","Yes","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","I don't kNow","Bites","Field dress and consumption","Disagree","Neutral","Agree","Strongly Disagree","Disagree","Neutral","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Vector borne diseases,CWD,SarsCoV2","Vector borne diseases,CWD,SarsCoV2","","",33,60.9333333333333,"Mobile County",1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,6,9,6,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,4,1,1,3,3,2,2
"5/30/2024","12:42:00 PM","5/30/2024","12:56:00 PM",100,842,TRUE,"5/30/2024","12:56:00 PM","R_6h7cRKiDdzrTZSx",1,2003,"Yes","36830","White","No","Male","$0-20,000","High school graduate/GED","No","No","Yes","<5 years","Yes","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Weekly",70,"No","No","","Yes","Always (100%)","Lee,Macon","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Bites","I don't kNow","Neutral","Strongly Agree","Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Vector borne diseases,CWD","Rabies,Influenza,Vector borne diseases,CWD","","",21,14.0333333333333,"Lee County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,7,8,7,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,6,1,1,4,3,2,2
"5/21/2024","10:47:00 AM","5/21/2024","11:00:00 AM",100,758,TRUE,"5/21/2024","11:00:00 AM","R_6NPou7JBRT4b0Td",0.899999976,1992,"Yes","36874","White","No","Female","$60,001-70,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",60,"Yes","No","","Yes","Always (100%)","Barbour,Elmore,Lee,Russell","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Disagree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Yes","Friends/Family,State Wildlife Agency,Academic Publications","Friends/Family,State Wildlife Agency,Academic Publications","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health","","",32,12.6333333333333,"Lee County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,7,10,7,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,3,1,1,6,3,4,2
"5/28/2024","6:56:00 AM","5/28/2024","7:26:00 AM",100,1836,TRUE,"5/28/2024","7:26:00 AM","R_6rN0uUoOCYoWkhp",0.800000012,1958,"Yes","36567","White","No","Male","$30,001-40,000","High school graduate/GED","No","No","No","","No","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",90,"No","No","","Yes","Always (100%)","Baldwin,Escambia,Mobile,Monroe,Washington","Yes","TRUE","FALSE","FALSE","TRUE","I don't kNow","FALSE","FALSE","TRUE","Bites","Incinerate","Disagree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Yes","State Wildlife Agency,News Sources","State Wildlife Agency,News Sources","","Yes","One day in-person conference","One day in-person conference","","Other","Other","","being observant is a key factor ",66,30.6,"Baldwin County",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,7,9,7,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,6,1,1,1,2,5,1
"5/17/2024","8:35:00 AM","5/17/2024","8:53:00 AM",100,1124,TRUE,"5/17/2024","8:53:00 AM","R_75qNfeFvrm9B1PX",0.899999976,1991,"Yes","36526","White","No","Female","$100,001+","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Weekly",30,"No","No","","Yes","Always (100%)","Baldwin,Bibb,Choctaw,Cullman,Franklin,Lawrence,Mobile,Washington","No","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Agree","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Yes","State Wildlife Agency","State Wildlife Agency","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",33,18.7333333333333,"Baldwin County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,8,10,8,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,8,1,8,1
"5/21/2024","12:25:00 PM","5/21/2024","12:39:00 PM",100,861,TRUE,"5/21/2024","12:39:00 PM","R_7eLAAMjlKpkcAX9",0.699999988,1976,"Yes","35572","White","No","Female","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","Yes","Yes",">10 years","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Monthly",40,"No","No","","Yes","Always (100%)","Lawrence,Winston","No","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Disagree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Neutral","Disagree","No","Other","Other","Federal and SCWDS","Yes","One day in-person conference,One day virtual conference, Other","One day in-person conference,One day virtual conference, quarterly virtual","Quarterly virtual","Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,SarsCoV2,Other","Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,SarsCoV2,Other","Emerging and Herp Diseases","",48,14.35,"Winston County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,7,10,7,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,2,3
"5/21/2024","7:02:00 AM","5/21/2024","7:13:00 AM",100,707,TRUE,"5/21/2024","7:14:00 AM","R_7eRrAopdWys4g9n",0.899999976,1991,"Yes","35616","White","Yes","Female","$60,001-70,000","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",30,"Yes","No","","Yes","Always (100%)","Colbert,Lauderdale","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Agree","Disagree","Neutral","Neutral","Neutral","Strongly Agree","Disagree","Disagree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","",33,11.7833333333333,"Colbert County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,8,10,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,3,3,2,2
"5/24/2024","6:54:00 AM","5/24/2024","7:04:00 AM",100,605,TRUE,"5/24/2024","7:04:00 AM","R_7fvOHU9YoykLuFw",0.699999988,1965,"Yes","36752","White","No","Male","$0-20,000","High school graduate/GED","No","No","No","","No","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Daily",90,"No","No","","Yes","Always (100%)","Lowndes","Yes","I don't kNow","TRUE","FALSE","TRUE","FALSE","I don't kNow","I don't kNow","TRUE","Bites","IgNore","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","No","State Wildlife Agency","State Wildlife Agency","","Unsure","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",59,10.0833333333333,"Lowndes County",0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,4,7,4,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,11,1,0,8,1,1,1
"5/22/2024","4:55:00 AM","5/22/2024","5:01:00 AM",100,387,TRUE,"5/22/2024","5:02:00 AM","R_7SM8E6s07qajcMF",0.899999976,1995,"Yes","36752","White","No","Male","$80,001-90,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes","5-10 years","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",90,"No","No","","Yes","Always (100%)","Lowndes","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","I don't kNow","Blood","Incinerate","Disagree","Neutral","Strongly Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Strongly Agree","Agree","Agree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza","Rabies,Influenza","","",29,6.45,"Lowndes County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,7,9,7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,2,1,2
"5/20/2024","4:33:00 AM","5/20/2024","4:41:00 AM",100,518,TRUE,"5/20/2024","4:41:00 AM","R_7TpBGzCaRQMxyGl",0.899999976,1989,"Yes","36604","White","No","Male","$50,001-60,000","College Graduate/BA or BS (4-year degree)","Yes","Yes","Yes",">10 years","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","Nonprofit/Conservation Organization","Nonprofit/Conservation Organization","","Monthly",60,"No","No","","Yes","Always (100%)","Baldwin,Chambers,Cherokee,Etowah,Jackson,Mobile,Montgomery,Morgan","No","TRUE","TRUE","FALSE","I don't kNow","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Strongly Disagree","Neutral","Agree","Neutral","Disagree","Disagree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Disagree","Agree","Yes","State Wildlife Agency,Academic Publications,News Sources","State Wildlife Agency,Academic Publications,News Sources","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,CWD","Rabies,CWD","","",35,8.63333333333333,"Mobile County",1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,5,9,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,3,8,2
"5/21/2024","2:56:00 AM","5/21/2024","3:05:00 AM",77,531,FALSE,"8/21/2024","3:05:00 AM","R_6ZCeY9nA0XVZTC0",0.699999988,2000,"Yes","35401","White","No","Male","$60,001-70,000","Graduate or Professional School","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Rarely",20,"Yes","No","","Yes","Rarely (<25%)","Greene,Hale,Henry","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Field dress and consumption","Strongly Disagree","Disagree","Strongly Agree","Neutral","Strongly Disagree","Disagree","Disagree","Agree","Strongly Agree","","","","","","","","","","","","","","","","","","","",24,8.85,"Tuscaloosa County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,7,10,7,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,3,1
"5/30/2024","9:59:00 AM","5/30/2024","10:04:00 AM",100,282,TRUE,"5/30/2024","10:04:00 AM","R_17UMLxYj6hrWFYO",0.899999976,2003,"Yes","36832","White","No","Female","$0-20,000","High school graduate/GED","No","No","No","","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",10,"Yes","Yes","Alive - Not Sedated","Yes","Sometimes (25%-75%)","Lee","No","TRUE","I don't kNow","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","I don't kNow","Agree","Neutral","Strongly Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","State Wildlife Agency,Academic Publications,News Sources,Conferences","State Wildlife Agency,Academic Publications,News Sources,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",21,4.7,"Lee County",1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,5,8,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,8,4,1,2
"5/28/2024","3:24:00 AM","5/28/2024","3:32:00 AM",100,458,TRUE,"5/28/2024","3:32:00 AM","R_5TAUTsApjaUpcEY",0.899999976,1987,"Yes","36830","White","No","Female","$100,001+","Graduate or Professional School","Yes","No","No","","Yes","1-5 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",50,"Yes","Yes","Alive - Not Sedated","Yes","Sometimes (25%-75%)","Lee","No","TRUE","I don't kNow","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Blood","I don't kNow","Neutral","Agree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Neutral","Agree","Disagree","Agree","Strongly Agree","Neutral","Disagree","No","State Wildlife Agency,Academic Publications,News Sources,Conferences,Other","State Wildlife Agency,Academic Publications,News Sources,Conferences,Other","Federal agencies like the CDC","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Leptospirosis,Vector borne diseases,One Health","Rabies,Influenza,Leptospirosis,Vector borne diseases,One Health","","",37,7.63333333333333,"Lee County",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,5,7,5,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,6,1,1,5,5,1,2
"5/15/2024","2:11:00 AM","5/15/2024","2:18:00 AM",100,438,TRUE,"5/15/2024","2:18:00 AM","R_15blYV6wxynsLC1",0.899999976,1985,"Yes","36804","White","No","Male","$100,001+","Graduate or Professional School","Yes","Yes","No","","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",10,"No","Yes","Dead","Yes","Sometimes (25%-75%)","Barbour,Bullock,Chambers,Covington,Dallas,Hale,Lee","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Agree","Agree","Disagree","Yes","Academic Publications,News Sources","Academic Publications,News Sources","","Yes","One day virtual conference","One day virtual conference","","Vector borne diseases","Vector borne diseases","","",39,7.3,"Lee County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,8,10,8,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,1,1,1,2,7,1
"5/29/2024","9:33:00 AM","5/29/2024","9:50:00 AM",100,997,TRUE,"5/29/2024","9:50:00 AM","R_5PzBd9SbA62THMd",NA,1992,"Yes","35466","White","No","Male","$30,001-40,000","Some College/AA or AS (2-year degree)","No","No","Yes","5-10 years","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Daily",90,"Yes","No","","Yes","Sometimes (25%-75%)","Bibb,Chilton,Dallas,Greene,Hale,Perry,Pickens,Tuscaloosa,Walker,Winston","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","I don't kNow","I don't kNow","TRUE","Bites","Incinerate","Agree","Agree","Neutral","Disagree","Agree","Disagree","Strongly Disagree","Agree","Neutral","Agree","Neutral","Agree","Strongly Disagree","Neutral","Strongly Agree","Agree","Yes","Friends/Family,State Wildlife Agency,Academic Publications,Social Media,Conferences","Friends/Family,State Wildlife Agency,Academic Publications,Social Media,Conferences","","Yes","One day in-person conference","One day in-person conference","","Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2","Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2","","",32,16.6166666666667,"Pickens County",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,7,8,7,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,4,1,1,5,5,10,1
"5/28/2024","9:25:00 AM","5/28/2024","9:40:00 AM",100,882,TRUE,"5/28/2024","9:40:00 AM","R_6Gw6dnuRMm4QxWC",1,2004,"Yes","36830","White","No","I prefer Not to answer","$50,001-60,000","High school graduate/GED","No","No","No","","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Academic/Research Institution","Academic/Research Institution","","Weekly",90,"No","No","","Yes","Sometimes (25%-75%)","Lee","No","TRUE","FALSE","TRUE","TRUE","I don't kNow","I don't kNow","I don't kNow","I don't kNow","Bites","Incinerate","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Strongly Agree","Agree","Neutral","Agree","Yes","Friends/Family,Academic Publications","Friends/Family,Academic Publications","","Yes","One day in-person conference","One day in-person conference","","Rabies,CWD,SarsCoV2","Rabies,CWD,SarsCoV2","","",20,14.7,"Lee County",1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,6,5,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,6,1,1,3,2,1,1
